id,tenure,monthlycharges,totalcharges,churn,internetservice,contract,paymentmethod,tenure_group,monthly_charge_segment,has_internet_service,is_multi_line_user,contract_type_code
305,38,81.85,3141.7,No,Fiber optic,Month-to-month,Mailed check,Loyal,High,1,1,0
306,52,24.8,1229.1,No,No,Two year,Mailed check,Loyal,Low,0,1,2
307,32,74.9,2303.35,Yes,Fiber optic,Month-to-month,Electronic check,Regular,High,1,1,0
308,29,75.55,2054.4,No,DSL,Two year,Mailed check,Regular,High,1,0,2
309,38,101.15,3741.85,No,Fiber optic,Month-to-month,Electronic check,Loyal,High,1,1,0
310,48,78.75,3682.45,No,DSL,One year,Credit card (automatic),Loyal,High,1,1,1
311,1,19.25,19.25,No,No,Month-to-month,Bank transfer (automatic),New,Low,0,0,0
312,22,89.05,1886.25,No,Fiber optic,Month-to-month,Electronic check,Regular,High,1,0,0
313,43,115.05,4895.1,No,Fiber optic,Two year,Credit card (automatic),Loyal,High,1,1,2
314,5,69.35,341.6,No,Fiber optic,Month-to-month,Electronic check,New,Medium,1,0,0
315,5,80.6,415.55,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
316,51,110.05,5686.4,No,Fiber optic,One year,Credit card (automatic),Loyal,High,1,1,1
317,71,19.9,1355.1,No,No,Two year,Credit card (automatic),Champion,Low,0,0,2
318,38,80.3,3058.65,Yes,DSL,One year,Credit card (automatic),Loyal,High,1,0,1
319,24,93.15,2231.05,Yes,Fiber optic,Month-to-month,Electronic check,Regular,High,1,0,0
320,35,91.5,3236.35,No,Fiber optic,Month-to-month,Credit card (automatic),Regular,High,1,1,0
321,54,82.45,4350.1,Yes,DSL,One year,Bank transfer (automatic),Loyal,High,1,1,1
322,72,60.0,4264.0,No,DSL,Two year,Electronic check,Champion,Medium,1,0,2
323,1,44.8,44.8,No,DSL,Month-to-month,Electronic check,New,Medium,1,0,0
324,9,48.6,422.3,No,DSL,One year,Mailed check,New,Medium,1,0,1
325,69,60.05,4176.7,No,DSL,Two year,Bank transfer (automatic),Champion,Medium,1,0,2
326,52,102.7,5138.1,No,Fiber optic,Month-to-month,Credit card (automatic),Loyal,High,1,1,0
327,11,82.9,880.05,No,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
328,2,70.35,139.05,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
329,28,35.9,973.65,No,DSL,Month-to-month,Electronic check,Regular,Medium,1,0,0
330,17,82.65,1470.05,No,Fiber optic,Month-to-month,Credit card (automatic),Regular,High,1,1,0
331,35,19.85,739.35,No,No,Two year,Mailed check,Regular,Low,0,0,2
332,8,19.2,161.95,No,No,One year,Mailed check,New,Low,0,0,1
333,46,94.9,4422.95,No,Fiber optic,One year,Credit card (automatic),Loyal,High,1,1,1
334,7,73.85,511.25,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,1,0
335,2,80.6,155.8,Yes,Fiber optic,Month-to-month,Mailed check,New,High,1,1,0
336,68,75.8,5293.95,Yes,DSL,One year,Bank transfer (automatic),Champion,High,1,1,1
337,43,104.6,4759.85,Yes,Fiber optic,Two year,Electronic check,Loyal,High,1,1,2
338,68,88.15,6148.45,No,DSL,Two year,Electronic check,Champion,High,1,1,2
339,36,94.8,3565.65,No,Fiber optic,Month-to-month,Credit card (automatic),Regular,High,1,0,0
340,63,103.4,6603.0,Yes,Fiber optic,Month-to-month,Electronic check,Champion,High,1,1,0
341,32,54.65,1830.1,No,DSL,Month-to-month,Bank transfer (automatic),Regular,Medium,1,0,0
342,71,85.75,6223.8,No,DSL,Two year,Credit card (automatic),Champion,High,1,1,2
343,66,67.45,4508.65,No,DSL,Month-to-month,Bank transfer (automatic),Champion,Medium,1,1,0
344,63,20.5,1328.15,No,No,One year,Mailed check,Champion,Low,0,0,1
345,41,20.25,865.0,No,No,One year,Credit card (automatic),Loyal,Low,0,0,1
346,1,72.1,72.1,No,Fiber optic,Month-to-month,Electronic check,New,High,1,1,0
347,2,90.4,168.2,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
348,70,19.45,1303.5,No,No,Two year,Bank transfer (automatic),Champion,Low,0,0,2
349,23,44.95,996.85,No,DSL,Month-to-month,Electronic check,Regular,Medium,1,0,0
350,64,97.0,6430.9,No,Fiber optic,One year,Bank transfer (automatic),Champion,High,1,0,1
351,37,62.8,2278.75,No,DSL,Two year,Credit card (automatic),Loyal,Medium,1,1,2
352,17,44.6,681.4,No,DSL,One year,Mailed check,Regular,Medium,1,0,1
353,7,89.15,574.35,No,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
354,4,84.8,371.9,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),New,High,1,1,0
355,21,41.9,840.1,Yes,DSL,Month-to-month,Electronic check,Regular,Medium,1,0,0
356,10,80.25,846.0,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),New,High,1,0,0
357,16,54.1,889.0,No,DSL,Month-to-month,Electronic check,Regular,Medium,1,1,0
358,64,105.25,6823.4,No,Fiber optic,Two year,Electronic check,Champion,High,1,1,2
359,27,30.75,805.1,Yes,DSL,Month-to-month,Credit card (automatic),Regular,Medium,1,0,0
360,42,97.1,4016.75,No,Fiber optic,One year,Electronic check,Loyal,High,1,1,1
361,5,20.2,83.75,No,No,Month-to-month,Mailed check,New,Low,0,0,0
362,41,98.8,3959.15,No,Fiber optic,Two year,Bank transfer (automatic),Loyal,High,1,0,2
363,58,50.3,2878.55,No,DSL,One year,Credit card (automatic),Loyal,Medium,1,0,1
364,47,20.55,945.7,No,No,Two year,Mailed check,Loyal,Low,0,0,2
365,18,75.9,1373.05,No,Fiber optic,Month-to-month,Bank transfer (automatic),Regular,High,1,0,0
366,5,96.5,492.55,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),New,High,1,0,0
367,23,59.95,1406.0,No,DSL,Month-to-month,Bank transfer (automatic),Regular,Medium,1,0,0
368,1,19.15,19.15,No,No,Month-to-month,Mailed check,New,Low,0,0,0
369,71,98.65,6962.85,No,Fiber optic,One year,Credit card (automatic),Champion,High,1,1,1
370,72,112.6,8126.65,No,Fiber optic,Two year,Credit card (automatic),Champion,High,1,1,2
371,33,20.6,690.25,No,No,One year,Mailed check,Regular,Low,0,0,1
372,2,85.65,181.5,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,1,0
373,24,35.75,830.8,No,DSL,Two year,Mailed check,Regular,Medium,1,0,2
374,56,99.75,5608.4,No,Fiber optic,One year,Credit card (automatic),Loyal,High,1,1,1
375,37,96.1,3646.8,No,Fiber optic,Month-to-month,Credit card (automatic),Loyal,High,1,0,0
376,43,85.1,3662.25,No,DSL,One year,Credit card (automatic),Loyal,High,1,1,1
377,1,25.35,25.35,No,DSL,Month-to-month,Mailed check,New,Low,1,0,0
378,25,104.95,2566.5,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),Regular,High,1,1,0
379,61,89.65,5308.7,No,DSL,Two year,Electronic check,Champion,High,1,1,2
380,17,86.75,1410.25,No,Fiber optic,One year,Electronic check,Regular,High,1,1,1
381,41,86.2,3339.05,No,Fiber optic,One year,Bank transfer (automatic),Loyal,High,1,0,1
382,1,50.65,50.65,Yes,DSL,Month-to-month,Mailed check,New,Medium,1,0,0
383,72,64.8,4732.35,No,DSL,Two year,Bank transfer (automatic),Champion,Medium,1,0,2
384,1,90.85,90.85,Yes,Fiber optic,Month-to-month,Credit card (automatic),New,High,1,1,0
385,48,108.1,5067.45,No,Fiber optic,Two year,Bank transfer (automatic),Loyal,High,1,1,2
386,11,19.95,214.75,Yes,No,Month-to-month,Mailed check,New,Low,0,0,0
387,55,85.45,4874.7,Yes,Fiber optic,Month-to-month,Electronic check,Loyal,High,1,1,0
388,42,54.75,2348.45,No,DSL,One year,Electronic check,Loyal,Medium,1,0,1
389,44,90.4,4063.0,No,Fiber optic,Month-to-month,Mailed check,Loyal,High,1,1,0
390,1,44.0,44.0,No,DSL,Month-to-month,Electronic check,New,Medium,1,0,0
391,27,95.6,2595.25,No,Fiber optic,Month-to-month,Bank transfer (automatic),Regular,High,1,1,0
392,27,84.8,2309.55,No,DSL,Month-to-month,Bank transfer (automatic),Regular,High,1,1,0
393,2,44.3,89.3,No,DSL,Month-to-month,Electronic check,New,Medium,1,0,0
394,19,19.9,367.55,No,No,Month-to-month,Mailed check,Regular,Low,0,0,0
395,42,95.05,3944.5,No,Fiber optic,Month-to-month,Electronic check,Loyal,High,1,1,0
396,66,90.05,5965.95,No,DSL,Two year,Credit card (automatic),Champion,High,1,1,2
397,33,109.9,3694.7,No,Fiber optic,Month-to-month,Bank transfer (automatic),Regular,High,1,1,0
398,34,73.95,2524.45,Yes,Fiber optic,Month-to-month,Credit card (automatic),Regular,High,1,0,0
399,33,54.6,1803.7,No,DSL,Month-to-month,Electronic check,Regular,Medium,1,0,0
400,23,20.05,415.1,No,No,One year,Mailed check,Regular,Low,0,0,1
401,32,19.75,624.15,No,No,One year,Bank transfer (automatic),Regular,Low,0,0,1
402,11,20.05,237.7,No,No,One year,Credit card (automatic),New,Low,0,0,1
403,69,99.45,7007.6,Yes,Fiber optic,Month-to-month,Credit card (automatic),Champion,High,1,1,0
404,68,55.9,3848.8,No,DSL,One year,Bank transfer (automatic),Champion,Medium,1,0,1
405,20,19.7,419.4,No,No,Two year,Mailed check,Regular,Low,0,0,2
406,72,19.8,1468.75,No,No,Two year,Credit card (automatic),Champion,Low,0,0,2
407,60,95.4,5812.0,No,Fiber optic,One year,Bank transfer (automatic),Loyal,High,1,1,1
408,32,93.95,2861.45,No,Fiber optic,Month-to-month,Mailed check,Regular,High,1,0,0
409,1,19.9,19.9,Yes,No,Month-to-month,Mailed check,New,Low,0,0,0
410,1,19.6,19.6,Yes,No,Month-to-month,Mailed check,New,Low,0,0,0
411,3,81.35,233.7,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,1,0
412,46,24.45,1066.15,No,No,One year,Bank transfer (automatic),Loyal,Low,0,1,1
413,29,74.95,2149.05,No,Fiber optic,Month-to-month,Electronic check,Regular,High,1,1,0
414,51,87.35,4473.0,No,Fiber optic,Month-to-month,Electronic check,Loyal,High,1,1,0
415,48,70.65,3545.05,No,Fiber optic,Month-to-month,Bank transfer (automatic),Loyal,High,1,0,0
416,16,73.25,1195.75,No,Fiber optic,Month-to-month,Bank transfer (automatic),Regular,High,1,0,0
417,70,98.7,6858.9,No,Fiber optic,Two year,Bank transfer (automatic),Champion,High,1,1,2
418,40,24.8,1024.7,No,No,Two year,Mailed check,Loyal,Low,0,1,2
419,22,83.3,1845.9,Yes,Fiber optic,Month-to-month,Electronic check,Regular,High,1,0,0
420,1,75.3,75.3,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),New,High,1,0,0
421,5,24.3,132.25,No,No,Month-to-month,Mailed check,New,Low,0,1,0
422,7,69.85,515.45,No,Fiber optic,Month-to-month,Bank transfer (automatic),New,Medium,1,0,0
423,29,100.55,2830.45,No,Fiber optic,One year,Credit card (automatic),Regular,High,1,1,1
424,44,25.7,1110.5,No,No,One year,Mailed check,Loyal,Low,0,1,1
425,10,40.7,449.3,No,DSL,Month-to-month,Bank transfer (automatic),New,Medium,1,0,0
426,55,51.65,2838.55,No,DSL,Month-to-month,Bank transfer (automatic),Loyal,Medium,1,1,0
427,52,105.1,5376.4,No,Fiber optic,One year,Bank transfer (automatic),Loyal,High,1,1,1
428,10,85.95,858.6,No,Fiber optic,Month-to-month,Electronic check,New,High,1,1,0
429,18,75.6,1395.05,No,Fiber optic,Month-to-month,Bank transfer (automatic),Regular,High,1,1,0
430,68,58.25,3975.7,No,DSL,One year,Bank transfer (automatic),Champion,Medium,1,1,1
431,61,19.4,1182.55,Yes,No,Month-to-month,Mailed check,Champion,Low,0,0,0
432,72,65.2,4784.45,No,DSL,Two year,Credit card (automatic),Champion,Medium,1,0,2
433,2,53.45,119.5,No,DSL,Month-to-month,Electronic check,New,Medium,1,0,0
434,12,45.4,518.9,Yes,DSL,Month-to-month,Bank transfer (automatic),New,Medium,1,0,0
435,41,19.75,899.45,No,No,Two year,Electronic check,Loyal,Low,0,0,2
436,26,44.45,1183.8,No,DSL,Month-to-month,Credit card (automatic),Regular,Medium,1,0,0
437,36,20.85,720.05,No,No,One year,Bank transfer (automatic),Regular,Low,0,0,1
438,72,114.05,8468.2,No,Fiber optic,Two year,Credit card (automatic),Champion,High,1,1,2
439,35,89.85,3161.2,No,Fiber optic,Month-to-month,Bank transfer (automatic),Regular,High,1,1,0
440,1,55.05,55.05,No,DSL,Month-to-month,Mailed check,New,Medium,1,0,0
441,16,112.95,1882.55,No,Fiber optic,Month-to-month,Electronic check,Regular,High,1,1,0
442,49,101.55,5070.4,No,Fiber optic,Month-to-month,Credit card (automatic),Loyal,High,1,1,0
443,54,114.65,6049.5,No,Fiber optic,One year,Mailed check,Loyal,High,1,1,1
444,18,64.8,1166.7,No,DSL,Month-to-month,Electronic check,Regular,Medium,1,1,0
445,36,80.4,2937.65,No,Fiber optic,Month-to-month,Electronic check,Regular,High,1,0,0
446,60,105.9,6396.45,Yes,Fiber optic,Month-to-month,Electronic check,Loyal,High,1,1,0
447,1,69.55,69.55,Yes,Fiber optic,Month-to-month,Mailed check,New,Medium,1,0,0
448,52,25.05,1270.25,No,No,Two year,Bank transfer (automatic),Loyal,Low,0,1,2
449,8,94.75,759.55,No,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
450,72,105.5,7611.55,No,Fiber optic,Two year,Bank transfer (automatic),Champion,High,1,0,2
451,64,24.7,1642.75,No,No,One year,Mailed check,Champion,Low,0,1,1
452,22,69.75,1545.4,No,DSL,Month-to-month,Mailed check,Regular,Medium,1,0,0
453,60,60.2,3582.4,No,DSL,Month-to-month,Bank transfer (automatic),Loyal,Medium,1,0,0
454,28,81.05,2227.1,Yes,Fiber optic,Month-to-month,Electronic check,Regular,High,1,0,0
455,61,24.4,1417.9,No,No,Two year,Mailed check,Champion,Low,0,1,2
456,24,104.15,2494.65,No,Fiber optic,Month-to-month,Electronic check,Regular,High,1,1,0
457,28,92.9,2768.35,No,Fiber optic,One year,Bank transfer (automatic),Regular,High,1,0,1
458,30,80.8,2369.3,No,DSL,Two year,Bank transfer (automatic),Regular,High,1,0,2
459,2,20.0,38.0,No,No,Month-to-month,Mailed check,New,Low,0,0,0
460,1,75.1,75.1,No,Fiber optic,Month-to-month,Electronic check,New,High,1,1,0
461,6,19.65,100.9,No,No,Month-to-month,Mailed check,New,Low,0,0,0
462,24,69.45,1614.05,No,DSL,Month-to-month,Bank transfer (automatic),Regular,Medium,1,0,0
463,4,101.15,385.9,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,1,0
464,7,99.8,673.25,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,1,0
465,72,116.05,8404.9,No,Fiber optic,Two year,Bank transfer (automatic),Champion,High,1,1,2
466,70,40.05,2799.75,No,DSL,Two year,Mailed check,Champion,Medium,1,0,2
467,64,102.1,6538.45,No,Fiber optic,Two year,Electronic check,Champion,High,1,1,2
468,72,89.7,6588.95,No,Fiber optic,One year,Electronic check,Champion,High,1,1,1
469,44,19.9,868.1,No,No,Two year,Mailed check,Loyal,Low,0,0,2
470,13,55.95,734.35,Yes,DSL,Month-to-month,Electronic check,Regular,Medium,1,0,0
471,17,20.65,330.6,No,No,One year,Mailed check,Regular,Low,0,0,1
472,1,55.0,55.0,Yes,DSL,Month-to-month,Electronic check,New,Medium,1,0,0
473,9,70.05,564.4,No,DSL,Month-to-month,Mailed check,New,High,1,0,0
474,24,53.6,1315.35,No,DSL,Month-to-month,Mailed check,Regular,Medium,1,0,0
475,1,74.7,74.7,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
476,24,80.25,1861.5,Yes,Fiber optic,Month-to-month,Electronic check,Regular,High,1,1,0
477,35,76.05,2747.2,No,DSL,Month-to-month,Electronic check,Regular,High,1,0,0
478,7,75.7,554.05,No,DSL,Month-to-month,Electronic check,New,High,1,0,0
479,5,96.1,453.4,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
480,15,69.0,994.8,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),Regular,Medium,1,0,0
481,11,19.65,225.75,No,No,Two year,Mailed check,New,Low,0,0,2
482,48,45.3,2145.0,Yes,DSL,Month-to-month,Bank transfer (automatic),Loyal,Medium,1,0,0
483,20,81.45,1671.6,No,Fiber optic,Month-to-month,Electronic check,Regular,High,1,0,0
484,72,108.5,8003.8,No,Fiber optic,One year,Bank transfer (automatic),Champion,High,1,1,1
485,8,83.55,680.05,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
486,72,84.5,6130.85,No,Fiber optic,Two year,Credit card (automatic),Champion,High,1,1,2
487,15,100.15,1415.0,No,Fiber optic,Month-to-month,Electronic check,Regular,High,1,1,0
488,72,88.6,6201.95,No,DSL,Two year,Bank transfer (automatic),Champion,High,1,1,2
489,0,52.55,1397.475,No,DSL,Two year,Bank transfer (automatic),New,Medium,1,0,2
490,1,74.35,74.35,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,1,0
491,63,104.8,6597.25,No,Fiber optic,Two year,Bank transfer (automatic),Champion,High,1,1,2
492,2,59.0,114.15,No,DSL,Month-to-month,Electronic check,New,Medium,1,0,0
493,2,74.4,139.4,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
494,61,64.05,3902.6,No,DSL,One year,Bank transfer (automatic),Champion,Medium,1,1,1
495,1,20.4,20.4,No,No,Month-to-month,Mailed check,New,Low,0,0,0
496,22,43.75,903.6,Yes,DSL,One year,Bank transfer (automatic),Regular,Medium,1,0,1
497,28,60.9,1785.65,No,DSL,Month-to-month,Mailed check,Regular,Medium,1,0,0
498,70,19.8,1397.65,No,No,Two year,Bank transfer (automatic),Champion,Low,0,0,2
499,5,28.45,131.05,Yes,DSL,Month-to-month,Electronic check,New,Low,1,0,0
500,12,99.7,1238.45,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),New,High,1,1,0
501,34,116.25,3899.05,No,Fiber optic,One year,Credit card (automatic),Regular,High,1,1,1
502,71,80.7,5676.0,No,Fiber optic,Two year,Credit card (automatic),Champion,High,1,1,2
503,70,65.2,4543.15,No,DSL,One year,Bank transfer (automatic),Champion,Medium,1,1,1
504,52,84.05,4326.8,No,Fiber optic,Month-to-month,Bank transfer (automatic),Loyal,High,1,0,0
505,69,79.45,5502.55,No,DSL,Two year,Credit card (automatic),Champion,High,1,1,2
506,20,94.1,1782.4,Yes,Fiber optic,Month-to-month,Electronic check,Regular,High,1,1,0
507,11,78.0,851.8,No,Fiber optic,Month-to-month,Mailed check,New,High,1,1,0
508,2,94.2,167.5,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
509,6,80.5,502.85,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,1,0
510,1,19.85,19.85,No,No,Month-to-month,Mailed check,New,Low,0,0,0
511,20,94.3,1818.3,No,Fiber optic,One year,Credit card (automatic),Regular,High,1,0,1
512,61,106.45,6300.15,No,Fiber optic,Month-to-month,Electronic check,Champion,High,1,1,0
513,5,74.35,334.8,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,1,0
514,56,105.45,5916.95,No,Fiber optic,Month-to-month,Bank transfer (automatic),Loyal,High,1,1,0
515,30,95.0,2852.4,No,Fiber optic,Month-to-month,Credit card (automatic),Regular,High,1,1,0
516,40,104.8,4131.95,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),Loyal,High,1,1,0
517,28,54.3,1546.3,No,DSL,One year,Mailed check,Regular,Medium,1,0,1
518,5,70.05,302.6,No,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
519,27,75.2,1929.35,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),Regular,High,1,0,0
520,12,20.05,265.45,No,No,Month-to-month,Credit card (automatic),New,Low,0,0,0
521,67,105.4,6989.45,No,Fiber optic,One year,Electronic check,Champion,High,1,1,1
522,29,51.6,1442.0,No,DSL,Month-to-month,Electronic check,Regular,Medium,1,1,0
523,55,85.5,4713.4,No,Fiber optic,Month-to-month,Bank transfer (automatic),Loyal,High,1,1,0
524,23,75.6,1758.6,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),Regular,High,1,1,0
525,34,100.05,3480.0,Yes,Fiber optic,Month-to-month,Electronic check,Regular,High,1,1,0
526,52,91.25,4738.3,No,Fiber optic,One year,Electronic check,Loyal,High,1,0,1
527,72,115.75,8399.15,No,Fiber optic,Two year,Credit card (automatic),Champion,High,1,1,2
528,58,94.7,5430.35,No,Fiber optic,One year,Credit card (automatic),Loyal,High,1,1,1
529,35,19.6,686.95,No,No,Two year,Mailed check,Regular,Low,0,0,2
530,56,99.9,5706.3,No,Fiber optic,Two year,Bank transfer (automatic),Loyal,High,1,1,2
531,24,21.1,490.65,No,No,Two year,Credit card (automatic),Regular,Low,0,0,2
532,70,20.05,1360.25,No,No,Two year,Credit card (automatic),Champion,Low,0,0,2
533,2,79.95,174.45,No,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
534,68,107.15,7379.8,No,Fiber optic,One year,Credit card (automatic),Champion,High,1,1,1
535,1,85.0,85.0,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,1,0
536,12,89.55,1021.75,No,Fiber optic,Month-to-month,Electronic check,New,High,1,1,0
537,63,81.55,5029.05,No,Fiber optic,Month-to-month,Bank transfer (automatic),Champion,High,1,1,0
538,33,58.45,1955.4,No,DSL,One year,Mailed check,Regular,Medium,1,0,1
539,69,95.65,6744.2,No,Fiber optic,One year,Credit card (automatic),Champion,High,1,0,1
540,60,80.6,4946.7,No,DSL,Two year,Bank transfer (automatic),Loyal,High,1,0,2
541,72,113.1,8248.5,No,Fiber optic,Two year,Bank transfer (automatic),Champion,High,1,1,2
542,11,58.95,601.6,No,DSL,Month-to-month,Mailed check,New,Medium,1,1,0
543,1,19.55,19.55,No,No,Month-to-month,Mailed check,New,Low,0,0,0
544,10,86.05,834.1,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),New,High,1,1,0
545,13,45.55,597.0,Yes,DSL,Month-to-month,Credit card (automatic),Regular,Medium,1,0,0
546,34,78.95,2647.2,No,Fiber optic,One year,Bank transfer (automatic),Regular,High,1,0,1
547,39,86.3,3266.0,Yes,Fiber optic,Month-to-month,Mailed check,Loyal,High,1,0,0
548,65,105.05,6744.25,No,Fiber optic,One year,Bank transfer (automatic),Champion,High,1,1,1
549,50,101.9,5265.5,No,Fiber optic,One year,Bank transfer (automatic),Loyal,High,1,1,1
550,15,19.75,311.6,No,No,Month-to-month,Mailed check,Regular,Low,0,0,0
551,72,110.3,7966.9,No,Fiber optic,Two year,Bank transfer (automatic),Champion,High,1,1,2
552,72,115.6,8220.4,No,Fiber optic,Two year,Bank transfer (automatic),Champion,High,1,1,2
553,55,19.35,1153.25,No,No,Two year,Bank transfer (automatic),Loyal,Low,0,0,2
554,23,25.6,514.75,No,No,Two year,Credit card (automatic),Regular,Low,0,1,2
555,32,80.35,2596.15,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),Regular,High,1,1,0
556,56,68.75,3808.0,No,DSL,One year,Bank transfer (automatic),Loyal,Medium,1,1,1
557,1,19.9,19.9,No,No,Month-to-month,Bank transfer (automatic),New,Low,0,0,0
558,38,70.6,2708.2,No,DSL,One year,Mailed check,Loyal,High,1,0,1
559,11,70.2,760.05,No,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
560,1,49.3,49.3,No,DSL,Month-to-month,Electronic check,New,Medium,1,0,0
561,56,107.25,6033.3,No,Fiber optic,One year,Electronic check,Loyal,High,1,1,1
562,3,23.6,89.05,No,No,Month-to-month,Mailed check,New,Low,0,1,0
563,7,69.7,516.15,No,DSL,Month-to-month,Credit card (automatic),New,Medium,1,0,0
564,59,99.5,5861.75,No,Fiber optic,Two year,Credit card (automatic),Loyal,High,1,1,2
565,7,64.3,445.95,No,DSL,Month-to-month,Bank transfer (automatic),New,Medium,1,0,0
566,71,70.85,4973.4,No,DSL,Two year,Credit card (automatic),Champion,High,1,0,2
567,15,101.9,1667.25,No,Fiber optic,One year,Electronic check,Regular,High,1,0,1
568,71,73.5,5357.75,No,DSL,Two year,Credit card (automatic),Champion,High,1,1,2
569,35,100.25,3527.6,Yes,Fiber optic,Month-to-month,Electronic check,Regular,High,1,1,0
570,11,40.4,422.6,No,DSL,One year,Credit card (automatic),New,Medium,1,0,1
571,60,19.25,1103.25,No,No,Two year,Credit card (automatic),Loyal,Low,0,0,2
572,47,59.6,2754.0,No,DSL,Two year,Bank transfer (automatic),Loyal,Medium,1,1,2
573,11,64.9,697.25,No,DSL,One year,Credit card (automatic),New,Medium,1,0,1
574,56,100.3,5614.45,Yes,Fiber optic,One year,Credit card (automatic),Loyal,High,1,1,1
575,28,110.85,3204.4,No,Fiber optic,Month-to-month,Electronic check,Regular,High,1,1,0
576,61,81.05,4747.65,No,DSL,Two year,Mailed check,Champion,High,1,0,2
577,31,98.05,3082.1,No,Fiber optic,One year,Bank transfer (automatic),Regular,High,1,1,1
578,9,70.5,597.9,No,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
579,35,94.55,3365.4,No,Fiber optic,Month-to-month,Electronic check,Regular,High,1,1,0
580,2,19.65,38.8,No,No,Month-to-month,Mailed check,New,Low,0,0,0
581,12,19.0,233.55,Yes,No,Month-to-month,Mailed check,New,Low,0,0,0
582,1,75.3,75.3,Yes,Fiber optic,Month-to-month,Mailed check,New,High,1,0,0
583,4,89.2,346.2,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,1,0
584,1,19.0,19.0,No,No,Month-to-month,Mailed check,New,Low,0,0,0
585,3,20.0,61.7,No,No,Month-to-month,Mailed check,New,Low,0,0,0
586,1,85.7,85.7,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,1,0
587,52,63.25,3342.45,No,DSL,Two year,Credit card (automatic),Loyal,Medium,1,0,2
588,5,20.1,85.1,No,No,One year,Mailed check,New,Low,0,0,1
589,72,99.15,7422.1,No,Fiber optic,Two year,Electronic check,Champion,High,1,1,2
590,71,90.4,6668.05,No,DSL,Two year,Electronic check,Champion,High,1,1,2
591,72,111.9,8071.05,No,Fiber optic,Two year,Credit card (automatic),Champion,High,1,1,2
592,46,24.9,1174.8,No,No,One year,Electronic check,Loyal,Low,0,1,1
593,63,83.5,5435.0,No,DSL,Two year,Credit card (automatic),Champion,High,1,1,2
594,30,84.3,2438.6,No,Fiber optic,Month-to-month,Credit card (automatic),Regular,High,1,0,0
595,1,45.6,45.6,No,DSL,Month-to-month,Mailed check,New,Medium,1,0,0
596,12,61.65,713.75,Yes,DSL,Month-to-month,Mailed check,New,Medium,1,1,0
597,16,54.85,916.15,No,DSL,Two year,Mailed check,Regular,Medium,1,0,2
598,4,65.55,237.2,No,DSL,Month-to-month,Mailed check,New,Medium,1,1,0
599,51,90.35,4614.55,No,Fiber optic,One year,Credit card (automatic),Loyal,High,1,1,1
600,65,20.4,1414.45,No,No,Two year,Credit card (automatic),Champion,Low,0,0,2
601,16,74.55,1170.5,No,Fiber optic,Month-to-month,Credit card (automatic),Regular,High,1,0,0
602,2,19.95,47.7,No,No,One year,Mailed check,New,Low,0,0,1
603,66,74.25,4859.25,No,Fiber optic,One year,Bank transfer (automatic),Champion,High,1,1,1
604,46,108.65,4903.2,No,Fiber optic,Two year,Electronic check,Loyal,High,1,1,2
605,32,109.55,3608.0,No,Fiber optic,One year,Bank transfer (automatic),Regular,High,1,1,1
606,72,86.65,6094.25,No,DSL,Two year,Credit card (automatic),Champion,High,1,1,2
607,38,81.0,3084.9,No,DSL,Two year,Credit card (automatic),Loyal,High,1,0,2
